,날짜,회사명,시가($),최고가($),최저가($),종가($),거래량
0,2024-05-09,amd,153.1300,154.0920,150.6100,152.3900,33017962
1,2024-05-08,amd,153.4000,155.3300,152.5200,153.6200,28727963
2,2024-05-07,amd,156.3200,157.7000,153.6600,154.4300,37374906
3,2024-05-06,amd,153.1000,156.6500,151.2600,155.7800,44624546
4,2024-05-03,amd,148.7500,150.7900,147.2384,150.6000,49361081
5,2024-05-02,amd,145.5100,147.6200,141.1550,146.1600,50034730
6,2024-05-01,amd,148.1100,151.3700,142.1400,144.2700,89413168
7,2024-04-30,amd,160.6300,162.2900,158.3500,158.3800,60742834
8,2024-04-29,amd,159.0800,160.7700,156.2600,160.2000,43478221
9,2024-04-26,amd,154.2400,158.6300,153.4252,157.4000,42510708
10,2024-04-25,amd,149.1500,155.1400,146.7500,153.7600,41471423
11,2024-04-24,amd,156.5600,157.6598,150.6300,151.7400,43412550
12,2024-04-23,amd,151.6500,153.4950,150.3500,152.2700,46051911
13,2024-04-22,amd,148.1500,149.8900,145.6300,148.6400,49397034
14,2024-04-19,amd,151.5900,154.2500,145.2900,146.6400,71618197
15,2024-04-18,amd,155.5100,156.9600,152.3200,155.0800,52669816
16,2024-04-17,amd,163.9700,164.4500,153.8800,154.0200,75908969
17,2024-04-16,amd,162.2800,164.8799,161.6700,163.4600,55302100
18,2024-04-15,amd,164.4300,164.4400,158.7600,160.3200,61461150
19,2024-04-12,amd,164.5300,165.7000,161.8250,163.2800,63519643
20,2024-04-11,amd,167.5450,170.9499,166.5492,170.5000,48994531
21,2024-04-10,amd,166.7100,169.7752,164.0000,167.1400,59599958
22,2024-04-09,amd,170.2100,171.6000,167.2900,170.7800,42927985
23,2024-04-08,amd,168.2000,171.6599,166.8200,169.9000,43997546
24,2024-04-05,amd,168.1000,172.6900,165.5800,170.4200,66080261
25,2024-04-04,amd,182.9200,183.0200,165.6500,165.8300,88279957
26,2024-04-03,amd,177.5400,182.0500,176.7000,180.7700,49835064
27,2024-04-02,amd,179.4700,180.1000,174.8300,178.7000,61598817
28,2024-04-01,amd,180.1000,187.2400,179.9000,183.3400,74299905
29,2024-03-28,amd,179.4700,183.4000,178.3000,180.4900,57628614
30,2024-03-27,amd,179.9600,181.2300,175.4000,179.5900,55685645
31,2024-03-26,amd,179.5400,182.5983,176.3300,177.8700,65322445
32,2024-03-25,amd,172.9000,182.8000,172.0000,178.6300,71935313
33,2024-03-22,amd,177.2100,180.7600,175.0500,179.6500,57899071
34,2024-03-21,amd,185.9700,187.6900,177.6600,178.6800,75265596
35,2024-03-20,amd,182.0300,182.6800,174.0000,179.7300,81773114
36,2024-03-19,amd,183.1600,185.6127,177.3602,181.4200,83509459
37,2024-03-18,amd,193.2850,193.5000,188.0500,190.6500,59306865
38,2024-03-15,amd,184.8300,193.7999,184.4800,191.0600,95289509
39,2024-03-14,amd,192.9200,196.9300,184.0300,187.0600,84490526
40,2024-03-13,amd,198.7300,198.8300,192.7001,194.7900,70526879
41,2024-03-12,amd,200.5200,202.8499,194.2700,202.7600,68951657
42,2024-03-11,amd,203.0100,203.5500,196.7010,198.3900,73098616
43,2024-03-08,amd,213.4100,227.3000,205.6000,207.3900,120815222
44,2024-03-07,amd,212.5200,213.8300,208.2200,211.3800,63869038
45,2024-03-06,amd,210.4300,214.8109,207.3200,210.6300,86686987
46,2024-03-05,amd,200.5000,205.3300,199.1500,205.1300,65407112
47,2024-03-04,amd,205.1600,211.0100,203.5000,205.3600,86835338
48,2024-03-01,amd,197.9100,202.7200,195.4200,202.6400,103820773
49,2024-02-29,amd,179.8200,193.0000,179.8200,192.5300,105538483
50,2024-02-28,amd,176.2500,176.8400,173.5900,176.5400,35914414
51,2024-02-27,amd,175.9200,178.4600,172.4900,178.0000,43665241
52,2024-02-26,amd,178.7800,179.8400,174.8100,176.0100,45435093
53,2024-02-23,amd,181.8600,183.8000,174.5500,176.5200,69207367
54,2024-02-22,amd,173.2000,183.8300,172.0000,181.8600,100684733
55,2024-02-21,amd,162.7400,164.9000,161.8100,164.2900,48774556
56,2024-02-20,amd,171.1400,171.8100,162.0000,165.6900,66549992
57,2024-02-16,amd,177.4500,180.3301,173.2500,173.8700,53940342
58,2024-02-15,amd,179.1400,180.5000,175.2600,176.7600,51126437
59,2024-02-14,amd,173.4700,178.7400,172.8800,178.7000,57402522
60,2024-02-13,amd,167.9400,173.1700,164.3000,171.5400,63071311
61,2024-02-12,amd,172.6800,177.4050,170.6700,171.9100,58177053
62,2024-02-09,amd,171.0000,175.1000,168.6601,172.4800,56375713
63,2024-02-08,amd,170.3300,172.1700,168.6000,169.3500,43385275
64,2024-02-07,amd,169.4700,172.9700,168.2000,170.9400,53665418
65,2024-02-06,amd,173.1500,173.8800,165.5000,167.8800,68854127
66,2024-02-05,amd,179.0900,180.0100,171.1100,174.2300,76349244
67,2024-02-02,amd,173.7900,179.0000,173.0500,177.6600,82134266
68,2024-02-01,amd,169.2700,171.1400,165.8600,170.4800,91576685
69,2024-01-31,amd,165.7400,171.3000,162.5602,167.6900,133157264
70,2024-01-30,amd,176.1300,178.4800,169.5200,172.0600,122265677
71,2024-01-29,amd,178.7700,178.8850,174.4000,177.8300,89384452
72,2024-01-26,amd,175.2900,181.2300,174.1500,177.2500,107381172
73,2024-01-25,amd,183.4100,184.9200,177.6300,180.3300,127171448
74,2024-01-24,amd,172.5500,180.5800,170.5600,178.2900,125516387
75,2024-01-23,amd,166.5000,169.6299,164.2700,168.4200,76830455
76,2024-01-22,amd,174.3900,174.7200,164.1500,168.1800,122973822
77,2024-01-19,amd,165.8000,174.2500,162.2000,174.2300,140367915
78,2024-01-18,amd,166.2000,168.6000,158.2200,162.6700,131864888
79,2024-01-17,amd,158.4500,160.6400,154.4000,160.1700,104084985
80,2024-01-16,amd,150.3600,159.7150,149.9800,158.7400,112711434
81,2024-01-12,amd,148.0400,148.7500,145.0000,146.5600,48293089
82,2024-01-11,amd,148.5200,150.3800,143.6900,148.0200,62764597
83,2024-01-10,amd,150.0700,150.8800,146.6500,148.5400,56951243
84,2024-01-09,amd,145.9500,149.8600,145.0800,149.2600,67875666
85,2024-01-08,amd,140.3600,147.1500,140.1500,146.1800,71756913
86,2024-01-05,amd,136.7800,141.0100,136.4377,138.5800,69657676
87,2024-01-04,amd,134.3000,137.7000,134.0000,136.0100,58610286
88,2024-01-03,amd,135.7100,137.4300,133.7413,135.3200,61988583
89,2024-01-02,amd,144.2800,144.4000,137.4300,138.5800,64902029
90,2023-12-29,amd,149.5000,151.0500,147.2000,147.4100,62079185
91,2023-12-28,amd,146.8000,150.4100,145.9506,148.7600,63800680
92,2023-12-27,amd,144.7200,146.2500,143.1800,146.0700,49033420
93,2023-12-26,amd,140.0700,143.8500,139.9200,143.4100,47157430
94,2023-12-22,amd,140.4800,140.7000,138.3100,139.6000,35396582
95,2023-12-21,amd,138.1400,139.9800,137.3800,139.9100,47179362
96,2023-12-20,amd,139.0000,139.5800,135.3700,135.4700,54671715
97,2023-12-19,amd,138.5700,143.4700,138.5550,140.1500,63739781
98,2023-12-18,amd,139.1500,139.7900,137.6500,138.9000,45199453
99,2023-12-15,amd,139.5200,140.8900,137.2500,139.1500,70211795
100,2023-12-14,amd,138.8900,141.8200,135.7250,138.0000,76115174
101,2023-12-13,amd,137.9700,139.2400,136.0303,138.1900,70651603
102,2023-12-12,amd,132.2500,139.8900,131.9000,137.6100,111677821
103,2023-12-11,amd,130.5600,135.0400,128.2500,134.4100,98668281
104,2023-12-08,amd,129.5400,131.0000,126.8900,128.9200,89341014
105,2023-12-07,amd,120.7850,128.6800,119.5600,128.3700,118579097
106,2023-12-06,amd,120.6900,122.8313,116.3800,116.8200,60599029
107,2023-12-05,amd,117.4300,118.4900,116.4500,118.3800,39191565
108,2023-12-04,amd,119.7500,119.9000,116.3700,118.5700,39854418
109,2023-12-01,amd,119.8800,121.4001,118.6450,121.3900,37048002
110,2023-11-30,amd,123.6100,124.0500,119.6500,121.1600,44494211
111,2023-11-29,amd,123.9800,125.7250,123.4800,123.8500,37876317
112,2023-11-28,amd,121.9800,122.5400,120.7900,122.0100,32047063
113,2023-11-27,amd,122.0700,123.8900,121.7720,122.6500,32743006
114,2023-11-24,amd,122.0300,123.2500,121.5400,122.3100,19001007
115,2023-11-22,amd,120.0000,124.7623,119.9516,122.5100,56894486
116,2023-11-21,amd,120.5400,120.6500,117.9400,119.1600,41064750
117,2023-11-20,amd,120.7000,121.9300,120.0700,121.5300,43173925
118,2023-11-17,amd,119.6400,121.4900,118.8200,120.6200,38538695
119,2023-11-16,amd,117.2000,120.7260,116.4100,119.8300,49661870
120,2023-11-15,amd,120.5400,120.5900,116.8701,118.0000,59555593
121,2023-11-14,amd,119.7000,122.1100,119.2200,119.8800,61017449
122,2023-11-13,amd,118.3400,118.6800,116.0000,116.7900,46741889
123,2023-11-10,amd,114.3500,119.7000,114.0300,118.5900,75204072
124,2023-11-09,amd,114.0950,115.8100,113.0600,113.4900,61146862
125,2023-11-08,amd,113.5500,115.3166,112.8800,113.5900,41880606
126,2023-11-07,amd,111.8600,114.6500,111.2200,113.4500,50550151
127,2023-11-06,amd,112.6000,113.0800,110.2200,111.7500,49270370
128,2023-11-03,amd,109.0500,113.3900,107.8600,112.2500,65632202
129,2023-11-02,amd,107.9600,109.4050,105.9100,107.8300,71376954
130,2023-11-01,amd,98.5800,108.1500,98.5000,108.0400,138641522
131,2023-10-31,amd,96.2350,98.8188,94.0700,98.5000,79547126
132,2023-10-30,amd,96.1400,97.0400,94.7000,96.1800,43716642
133,2023-10-27,amd,95.8000,97.3500,94.5900,96.4300,52458653
134,2023-10-26,amd,95.9900,97.5200,93.1150,93.6700,49896360
135,2023-10-25,amd,100.4200,101.0300,95.2300,96.0550,53424477
136,2023-10-24,amd,100.9700,101.7899,99.3800,101.6700,51982918
