,날짜,회사명,시가(₩),최고가(₩),최저가(₩),종가(₩),거래량
0,2024-05-09,skhynix,179000,179400,175400,175400,2861600
1,2024-05-08,skhynix,177600,179400,176000,178000,2304744
2,2024-05-07,skhynix,179400,180900,179300,179600,4349589
3,2024-05-03,skhynix,177000,177500,173200,173200,2336256
4,2024-05-02,skhynix,169000,174700,169000,173600,3168250
5,2024-04-30,skhynix,175900,179000,173800,174200,3655060
6,2024-04-29,skhynix,179100,180400,175600,175900,2892809
7,2024-04-26,skhynix,176200,178300,174900,177800,5471765
8,2024-04-25,skhynix,173800,176700,170600,170600,5332149
9,2024-04-24,skhynix,178900,180200,176300,179800,4254632
10,2024-04-23,skhynix,172600,173700,169700,171000,3975371
11,2024-04-22,skhynix,170700,172400,167000,171600,5882906
12,2024-04-19,skhynix,177200,178500,169500,173300,7545976
13,2024-04-18,skhynix,176000,183300,175400,182300,4170243
14,2024-04-17,skhynix,179600,182500,177700,178700,4340591
15,2024-04-16,skhynix,184400,185500,178300,179100,4956035
16,2024-04-15,skhynix,185400,188400,183000,188200,2672047
17,2024-04-12,skhynix,188700,191400,187000,187400,3097301
18,2024-04-11,skhynix,182900,188400,182400,188400,4098231
19,2024-04-09,skhynix,182300,185300,181700,182900,2302751
20,2024-04-08,skhynix,183900,183900,180000,181200,3278855
21,2024-04-05,skhynix,184800,187600,181800,182800,4043133
22,2024-04-04,skhynix,184400,188500,184000,188000,5344102
23,2024-04-03,skhynix,182000,183700,178200,179200,5416518
24,2024-04-02,skhynix,188000,190000,184400,186300,4207759
25,2024-04-01,skhynix,186400,190500,185000,185500,2723474
26,2024-03-29,skhynix,179200,183900,177600,183000,3035080
27,2024-03-28,skhynix,178000,182100,178000,178200,3424716
28,2024-03-27,skhynix,176700,183000,175600,181200,5774536
29,2024-03-26,skhynix,172000,179500,171900,176600,6549669
30,2024-03-25,skhynix,170500,174800,168500,169400,3434516
31,2024-03-22,skhynix,169000,173900,167400,169800,5400916
32,2024-03-21,skhynix,165200,171400,162600,170000,9205769
33,2024-03-20,skhynix,160200,161400,154100,156500,5692523
34,2024-03-19,skhynix,161700,161800,157600,160200,4159293
35,2024-03-18,skhynix,161200,164500,161000,164300,2696598
36,2024-03-15,skhynix,159600,162900,158600,161200,4099531
37,2024-03-14,skhynix,163600,164200,161100,161900,3655060
38,2024-03-13,skhynix,168600,169700,162000,163600,5072935
39,2024-03-12,skhynix,166100,167200,164000,165700,3102706
40,2024-03-11,skhynix,165000,168900,164700,166600,3450905
41,2024-03-08,skhynix,169800,174900,169300,171900,5089650
42,2024-03-07,skhynix,164500,165900,161000,164900,3052700
