,날짜,회사명,시가($),최고가($),최저가($),종가($),거래량
0,2024-05-09,nvidia,905.2900,910.7200,882.3100,887.4700,37801268
1,2024-05-08,nvidia,894.8250,911.9400,894.2000,904.1200,32572102
2,2024-05-07,nvidia,910.9800,917.8099,890.1100,905.5400,43734161
3,2024-05-06,nvidia,893.9000,922.2000,890.5500,921.4000,37620255
4,2024-05-03,nvidia,877.8900,892.8100,870.4000,887.8900,39834072
5,2024-05-02,nvidia,844.4900,862.3700,832.0000,858.1700,37789754
6,2024-05-01,nvidia,850.7700,860.0000,812.5456,830.4100,55986317
7,2024-04-30,nvidia,872.4000,888.1900,863.0000,864.0200,36370870
8,2024-04-29,nvidia,875.9500,879.9200,852.6600,877.5700,38897076
9,2024-04-26,nvidia,838.1800,883.3093,833.8700,877.3500,55101078
10,2024-04-25,nvidia,788.6801,833.2299,782.2300,826.3200,42464073
11,2024-04-24,nvidia,839.5000,840.8200,791.8300,796.7700,51220753
12,2024-04-23,nvidia,807.6900,827.6900,802.6400,824.2300,43855937
13,2024-04-22,nvidia,781.0400,800.7300,764.0000,795.1800,59634051
14,2024-04-19,nvidia,831.5000,843.2400,756.0600,762.0000,87519800
15,2024-04-18,nvidia,849.7000,861.8999,824.0200,846.7100,44726034
16,2024-04-17,nvidia,883.4000,887.7500,839.5000,840.3500,49539951
17,2024-04-16,nvidia,864.3250,881.1800,860.6390,874.1500,37045302
18,2024-04-15,nvidia,890.9800,906.1300,859.2901,860.0100,44307695
19,2024-04-12,nvidia,896.9900,901.7499,875.3000,881.8600,42680479
20,2024-04-11,nvidia,874.2000,907.3899,869.2600,906.1600,43163727
21,2024-04-10,nvidia,839.2600,874.0000,837.0900,870.3900,43192853
22,2024-04-09,nvidia,874.4200,876.3500,830.2200,853.5400,50354735
23,2024-04-08,nvidia,887.0000,888.3000,867.3200,871.3300,28322000
24,2024-04-05,nvidia,868.6600,884.8100,859.2600,880.0800,39967846
25,2024-04-04,nvidia,904.0600,906.3399,858.8000,859.0500,43496492
26,2024-04-03,nvidia,884.8400,903.7400,884.0000,889.6400,37006655
27,2024-04-02,nvidia,884.4800,900.9400,876.2000,894.5200,43306355
28,2024-04-01,nvidia,902.9900,922.2500,892.0400,903.6300,45244149
29,2024-03-28,nvidia,900.0000,913.0000,891.9300,903.5600,43521227
30,2024-03-27,nvidia,931.1200,932.4000,891.2300,902.5000,58606723
31,2024-03-26,nvidia,958.5100,963.7500,925.0200,925.6100,51364758
32,2024-03-25,nvidia,939.4100,967.6599,935.1000,950.0200,55213608
33,2024-03-22,nvidia,911.4100,947.7799,908.3401,942.8900,58671936
34,2024-03-21,nvidia,923.0000,926.4800,904.0500,914.3500,48037231
35,2024-03-20,nvidia,897.9700,904.1000,882.2300,903.7200,47906279
36,2024-03-19,nvidia,867.0000,905.4400,850.1000,893.9800,67217127
37,2024-03-18,nvidia,903.8800,924.0500,870.8500,884.5500,66897593
38,2024-03-15,nvidia,869.3000,895.4600,862.5700,878.3650,64208616
39,2024-03-14,nvidia,895.7700,906.4600,866.0000,879.4400,60231816
40,2024-03-13,nvidia,910.5500,915.0400,884.3500,908.8800,63571289
41,2024-03-12,nvidia,880.4900,919.6000,861.5010,919.1300,66807515
