,날짜,회사명,시가(₩),최고가(₩),최저가(₩),종가(₩),거래량
0,2024-05-09,samsung,81100,81500,79700,79700,18759936
1,2024-05-08,samsung,80800,81400,80500,81300,13089576
2,2024-05-07,samsung,79600,81300,79400,81300,26238868
3,2024-05-03,samsung,79000,79000,77500,77600,13151889
4,2024-05-02,samsung,77600,78600,77300,78000,18900640
5,2024-04-30,samsung,77000,78500,76600,77500,19007008
6,2024-04-29,samsung,77400,77600,76200,76700,14664474
7,2024-04-26,samsung,77800,77900,76500,76700,12755629
8,2024-04-25,samsung,77300,77500,76300,76300,15549134
9,2024-04-24,samsung,77500,78800,77200,78600,22166150
10,2024-04-23,samsung,76400,76800,75500,75500,18717700
11,2024-04-22,samsung,77400,77500,75100,76100,30469476
12,2024-04-19,samsung,78300,78700,76300,77600,31317564
13,2024-04-18,samsung,78800,80100,78300,79600,21370190
14,2024-04-17,samsung,80700,80800,78900,78900,22611632
15,2024-04-16,samsung,81200,81300,79400,80000,31949844
16,2024-04-15,samsung,82900,83200,81200,82200,26663772
17,2024-04-12,samsung,84700,84900,83200,83700,17061770
18,2024-04-11,samsung,83200,84700,82500,84100,25538008
19,2024-04-09,samsung,84500,84900,83100,83600,23725956
20,2024-04-08,samsung,85200,86000,84500,84500,18953232
21,2024-04-05,samsung,84500,85000,83800,84500,18883752
22,2024-04-04,samsung,85200,85500,84300,85300,25248934
23,2024-04-03,samsung,84300,85000,83500,84100,30493348
24,2024-04-02,samsung,82900,85000,82900,85000,37077944
25,2024-04-01,samsung,83200,83300,82000,82000,20116512
26,2024-03-29,samsung,81200,82500,80900,82400,27126366
27,2024-03-28,samsung,79400,81000,79200,80800,25084812
28,2024-03-27,samsung,79200,80000,79200,79800,17424596
29,2024-03-26,samsung,79700,80100,79200,79900,30551494
30,2024-03-25,samsung,79600,79800,77800,78200,18703996
31,2024-03-22,samsung,79600,79900,77800,78900,26724760
32,2024-03-21,samsung,79200,79300,77700,79300,44569800
33,2024-03-20,samsung,73700,77200,73400,76900,50106296
34,2024-03-19,samsung,72300,73000,71700,72800,15376066
35,2024-03-18,samsung,72600,73000,72500,72800,11520348
36,2024-03-15,samsung,73400,73700,72300,72300,22580556
37,2024-03-14,samsung,74400,74500,73600,74300,22545540
38,2024-03-13,samsung,73700,74100,73500,74100,15243134
39,2024-03-12,samsung,72600,73500,72100,73300,13011654
40,2024-03-11,samsung,72900,73100,72300,72400,9740504
41,2024-03-08,samsung,72800,73400,72600,73300,19271348
42,2024-03-07,samsung,73100,73300,72200,72200,14516963
43,2024-03-06,samsung,73200,73500,72700,72900,21547904
44,2024-03-05,samsung,74600,74800,73700,73700,19505124
45,2024-03-04,samsung,74300,75000,74000,74900,23210474
46,2024-02-29,samsung,72600,73400,72000,73400,21176404
47,2024-02-28,samsung,72900,73900,72800,73200,11795859
48,2024-02-27,samsung,73100,73400,72700,72900,13201981
49,2024-02-26,samsung,72300,73200,72200,72800,14669352
50,2024-02-23,samsung,73600,74200,72900,72900,16225166
51,2024-02-22,samsung,73800,73900,72700,73100,15208934
52,2024-02-21,samsung,73400,73700,72900,73000,11503495
53,2024-02-20,samsung,73700,73700,72800,73300,14681477
54,2024-02-19,samsung,72800,73900,72800,73800,12726404
55,2024-02-16,samsung,73300,73400,72500,72800,13444781
56,2024-02-15,samsung,74200,74400,73000,73000,14120600
57,2024-02-14,samsung,73700,74300,73700,74000,12434945
58,2024-02-13,samsung,74800,75200,74400,75200,21966744
59,2024-02-08,samsung,75000,75200,73600,74100,20810708
60,2024-02-07,samsung,74600,75500,74300,75000,16566445
61,2024-02-06,samsung,74300,74700,73300,74400,14559254
62,2024-02-05,samsung,74200,74800,73500,74300,19026020
63,2024-02-02,samsung,74000,75200,73700,75200,14955881
64,2024-02-01,samsung,73000,74200,72900,73600,19881032
65,2024-01-31,samsung,73400,74000,72500,72700,15703560
66,2024-01-30,samsung,75000,75300,73700,74300,12244418
67,2024-01-29,samsung,73800,75200,73500,74400,13976521
68,2024-01-26,samsung,73700,74500,73300,73400,11160062
69,2024-01-25,samsung,74200,74800,73700,74100,11737747
70,2024-01-24,samsung,75200,75200,73500,74000,12860661
71,2024-01-23,samsung,75700,75800,74300,75200,14786224
72,2024-01-22,samsung,75900,76000,75000,75100,19673376
73,2024-01-19,samsung,73500,74700,73000,74700,23363428
74,2024-01-18,samsung,71600,72000,70700,71700,17853396
75,2024-01-17,samsung,73100,73300,71000,71000,22683660
76,2024-01-16,samsung,73500,73700,72500,72600,14760415
77,2024-01-15,samsung,73200,74000,73200,73900,13212339
78,2024-01-12,samsung,73000,74100,72800,73100,13038939
79,2024-01-11,samsung,72900,73600,72700,73200,57691264
80,2024-01-10,samsung,75000,75200,73200,73600,20259528
81,2024-01-09,samsung,77400,77700,74300,74700,26019248
82,2024-01-08,samsung,77000,77500,76400,76500,11088724
83,2024-01-05,samsung,76700,77100,76400,76600,11304316
84,2024-01-04,samsung,76100,77300,76100,76600,15324439
85,2024-01-03,samsung,78500,78800,77000,77000,21753644
86,2024-01-02,samsung,78200,79800,78200,79600,17142848
87,2023-12-28,samsung,77700,78500,77500,78500,17797536
88,2023-12-27,samsung,76700,78000,76500,78000,20651042
89,2023-12-26,samsung,76100,76700,75700,76600,13164909
90,2023-12-22,samsung,75800,76300,75400,75900,14515608
91,2023-12-21,samsung,74600,75000,74300,75000,13478766
92,2023-12-20,samsung,74200,74900,73800,74800,16870156
93,2023-12-19,samsung,73000,73400,72800,73400,8907632
94,2023-12-18,samsung,73300,73400,72800,72900,9690551
95,2023-12-15,samsung,73800,74000,73200,73300,15419815
96,2023-12-14,samsung,74100,74300,72500,73100,27567592
97,2023-12-13,samsung,73300,73500,72800,72800,13116766
98,2023-12-12,samsung,73300,73500,73100,73500,13758646
99,2023-12-11,samsung,72800,73000,72200,73000,9861960
100,2023-12-08,samsung,72100,72800,71900,72600,10859463
101,2023-12-07,samsung,71800,71900,71100,71500,8862017
102,2023-12-06,samsung,71800,72100,71600,71700,8123087
103,2023-12-05,samsung,72300,72400,71200,71200,12129682
104,2023-12-04,samsung,72800,72900,72400,72600,10229267
105,2023-12-01,samsung,72400,72500,71700,72000,9871284
106,2023-11-30,samsung,72700,72800,72200,72800,15783714
107,2023-11-29,samsung,72400,72800,72200,72700,9283933
108,2023-11-28,samsung,71400,72700,71300,72700,13283081
109,2023-11-27,samsung,71500,72100,71100,71300,9113857
110,2023-11-24,samsung,72400,72600,71700,71700,6676685
111,2023-11-23,samsung,73000,73200,72200,72400,6775614
112,2023-11-22,samsung,72200,73000,71900,72800,11105143
113,2023-11-21,samsung,73100,73400,72700,72800,9712881
114,2023-11-20,samsung,72100,73000,72100,72700,10610157
115,2023-11-17,samsung,72300,73000,72300,72500,11494644
116,2023-11-16,samsung,72500,73000,72300,72800,15860451
117,2023-11-15,samsung,71600,72200,71500,72200,20148676
118,2023-11-14,samsung,71000,71100,70600,70800,9567984
119,2023-11-13,samsung,71300,71300,70300,70400,9246919
120,2023-11-10,samsung,70000,70500,69500,70500,9684347
121,2023-11-09,samsung,69900,70800,69600,70300,12301373
122,2023-11-08,samsung,71300,71400,69700,69900,12901310
123,2023-11-07,samsung,70600,70900,70000,70900,17228732
124,2023-11-06,samsung,69800,70900,69300,70900,22228488
