날짜,회사명,시가,최고가,최저가,종가,거래량
2021년 1월 4일,AMD,92.1100$,96.0600$,90.9150$,92.3000$,51802552$
2021년 1월 4일,삼성전자,81000₩,84400₩,80200₩,83000₩,38655276₩
2021년 1월 4일,NVIDIA,13.0731$,13.6201$,12.9317$,13.0823$,14016045$
2021년 1월 4일,SK하이닉스,124500₩,128000₩,120500₩,126000₩,7995016₩
2021년 1월 5일,AMD,92.1000$,93.2077$,91.4100$,92.7700$,34207989$
2021년 1월 5일,NVIDIA,13.0686$,13.4116$,13.0559$,13.3729$,8068998$
2021년 1월 5일,SK하이닉스,124500₩,132500₩,124000₩,130500₩,7180224₩
2021년 1월 5일,삼성전자,81600₩,83900₩,81600₩,83900₩,35335668₩
2021년 1월 6일,NVIDIA,13.1911$,13.2135$,12.5561$,12.5845$,14510575$
2021년 1월 6일,AMD,91.6200$,92.2800$,89.4600$,90.3300$,51911657$
2021년 1월 6일,SK하이닉스,132500₩,137000₩,130000₩,131000₩,8525749₩
2021년 1월 6일,삼성전자,83300₩,84500₩,82100₩,82200₩,42089012₩
2021년 1월 7일,SK하이닉스,132500₩,137500₩,131500₩,134500₩,5981299₩
2021년 1월 7일,삼성전자,82800₩,84200₩,82700₩,82900₩,32644642₩
2021년 1월 7일,AMD,91.3300$,95.5100$,91.2000$,95.1600$,42897157$
2021년 1월 7일,NVIDIA,12.9367$,13.3460$,12.8559$,13.3123$,11537037$
2021년 1월 8일,NVIDIA,13.3308$,13.3891$,13.0110$,13.2452$,7313215$
2021년 1월 8일,AMD,95.9800$,96.4000$,93.2700$,94.5800$,39816400$
2021년 1월 8일,삼성전자,83300₩,90000₩,83000₩,88800₩,59013308₩
2021년 1월 8일,SK하이닉스,136000₩,138000₩,132500₩,138000₩,8713010₩
2021년 1월 11일,SK하이닉스,138000₩,140000₩,131000₩,133000₩,11154671₩
2021년 1월 11일,삼성전자,90000₩,96800₩,89500₩,91000₩,90306176₩
2021년 1월 11일,AMD,94.0250$,99.2300$,93.7600$,97.2500$,48669103$
2021년 1월 11일,NVIDIA,13.3869$,13.9278$,13.3308$,13.5891$,12975720$
2021년 1월 12일,AMD,97.8600$,98.9700$,94.0700$,95.3550$,67672311$
2021년 1월 12일,SK하이닉스,132000₩,133500₩,125500₩,129000₩,8700877₩
2021년 1월 12일,삼성전자,90300₩,91400₩,87800₩,90600₩,48682416₩
2021년 1월 12일,NVIDIA,13.7198$,13.7218$,13.3133$,13.4527$,7286943$
2021년 1월 13일,NVIDIA,13.4579$,13.5926$,13.3532$,13.4996$,5250711$
2021년 1월 13일,SK하이닉스,129000₩,133500₩,128500₩,133000₩,6791044₩
2021년 1월 13일,삼성전자,89800₩,91200₩,89100₩,89700₩,36068848₩
2021년 1월 13일,AMD,93.0100$,93.8900$,90.8400$,91.7800$,60712896$
2021년 1월 14일,SK하이닉스,132500₩,133000₩,129000₩,130500₩,5380278₩
2021년 1월 14일,NVIDIA,13.5428$,13.5674$,13.1492$,13.1689$,7078007$
2021년 1월 14일,AMD,91.7700$,92.3600$,90.4500$,90.7900$,53408241$
2021년 1월 14일,삼성전자,88700₩,90000₩,88700₩,89700₩,26393970₩
2021년 1월 15일,AMD,90.7500$,91.5900$,87.8600$,88.2100$,49340338$
2021년 1월 15일,삼성전자,89800₩,91800₩,88000₩,88000₩,33431808₩
2021년 1월 15일,SK하이닉스,133000₩,135000₩,127000₩,127500₩,4838114₩
2021년 1월 15일,NVIDIA,13.1966$,13.2936$,12.8180$,12.8290$,6944532$
2021년 1월 18일,삼성전자,86600₩,87300₩,84100₩,85000₩,43227952₩
2021년 1월 18일,SK하이닉스,126000₩,131000₩,125000₩,130000₩,5927419₩
2021년 1월 19일,SK하이닉스,131000₩,132000₩,128500₩,130500₩,4513315₩
2021년 1월 19일,NVIDIA,12.9853$,13.0629$,12.8135$,12.9943$,5654672$
2021년 1월 19일,AMD,89.5600$,89.5800$,87.2400$,89.4500$,45115055$
2021년 1월 19일,삼성전자,84500₩,88000₩,83600₩,87000₩,39895044₩
2021년 1월 20일,삼성전자,89000₩,89000₩,86500₩,87200₩,25211128₩
2021년 1월 20일,AMD,90.5500$,90.7800$,88.6000$,88.7500$,35185810$
2021년 1월 20일,SK하이닉스,134000₩,135000₩,130000₩,130500₩,4913282₩
2021년 1월 20일,NVIDIA,13.0806$,13.3986$,13.0257$,13.3340$,6464272$
2021년 1월 21일,SK하이닉스,131500₩,133000₩,130000₩,131500₩,3067677₩
2021년 1월 21일,삼성전자,87500₩,88600₩,86500₩,88100₩,25318012₩
2021년 1월 21일,AMD,89.3400$,92.0700$,88.4300$,91.5300$,54596079$
2021년 1월 21일,NVIDIA,13.3867$,13.9661$,13.2215$,13.8346$,8458490$
2021년 1월 22일,NVIDIA,13.7074$,13.8089$,13.5949$,13.6799$,6170464$
2021년 1월 22일,삼성전자,89000₩,89700₩,86800₩,86800₩,30861660₩
2021년 1월 22일,SK하이닉스,131500₩,132000₩,128500₩,128500₩,3927767₩
2021년 1월 22일,AMD,94.4200$,95.9500$,91.8800$,92.7900$,71294707$
2021년 1월 25일,AMD,94.1400$,95.7400$,91.4000$,94.1300$,55086943$
2021년 1월 25일,NVIDIA,13.7490$,13.7957$,13.2050$,13.6208$,6277779$
2021년 1월 25일,SK하이닉스,130000₩,135000₩,129500₩,135000₩,5061864₩
2021년 1월 25일,삼성전자,87000₩,89900₩,86300₩,89400₩,27258534₩
2021년 1월 26일,삼성전자,88800₩,89200₩,86500₩,86700₩,33178936₩
2021년 1월 26일,SK하이닉스,134000₩,134000₩,128500₩,129000₩,6270106₩
2021년 1월 26일,NVIDIA,13.5482$,13.6123$,13.3557$,13.4033$,4099510$
2021년 1월 26일,AMD,94.9100$,95.7171$,93.6300$,94.7100$,59449053$
2021년 1월 27일,NVIDIA,13.1986$,13.2013$,12.7634$,12.8871$,9281821$
2021년 1월 27일,삼성전자,86600₩,87700₩,85600₩,85600₩,26423070₩
2021년 1월 27일,AMD,91.1000$,91.8800$,86.2200$,88.8400$,73341193$
2021년 1월 27일,SK하이닉스,129500₩,132000₩,127500₩,128500₩,5068456₩
2021년 1월 28일,NVIDIA,12.9654$,13.3081$,12.9297$,13.0200$,5707899$
2021년 1월 28일,삼성전자,83200₩,85600₩,83200₩,83700₩,31859808₩
2021년 1월 28일,SK하이닉스,124000₩,125500₩,121500₩,123000₩,6270829₩
2021년 1월 28일,AMD,89.8300$,89.8800$,87.3000$,87.5200$,47048362$
2021년 1월 29일,SK하이닉스,128500₩,128500₩,121500₩,122500₩,7391307₩
2021년 1월 29일,NVIDIA,13.0439$,13.3031$,12.8808$,12.9589$,6788801$
2021년 1월 29일,AMD,87.5600$,88.3300$,85.0200$,85.6400$,56735828$
2021년 1월 29일,삼성전자,84500₩,85000₩,82000₩,82000₩,39615976₩
2021년 2월 1일,NVIDIA,13.0223$,13.2392$,12.8721$,13.2056$,5430108$
2021년 2월 1일,AMD,86.8300$,87.9500$,84.6600$,87.6600$,42359344$
2021년 2월 1일,삼성전자,81700₩,83400₩,81000₩,83000₩,28046832₩
2021년 2월 1일,SK하이닉스,121000₩,126000₩,118000₩,125000₩,5620305₩
2021년 2월 2일,NVIDIA,13.3669$,13.5398$,13.2539$,13.5245$,5510957$
2021년 2월 2일,SK하이닉스,128500₩,132500₩,127000₩,130000₩,4880067₩
2021년 2월 2일,AMD,88.4900$,89.2800$,86.9500$,88.8600$,33850049$
2021년 2월 2일,삼성전자,84100₩,86400₩,83700₩,84400₩,26302076₩
2021년 2월 3일,NVIDIA,13.6036$,13.8987$,13.4844$,13.4984$,6135232$
2021년 2월 3일,AMD,88.6000$,89.4800$,87.3400$,87.8900$,32312885$
2021년 2월 3일,SK하이닉스,131000₩,131500₩,128500₩,130000₩,3693688₩
2021년 2월 3일,삼성전자,84800₩,85400₩,83400₩,84600₩,22112204₩
2021년 2월 4일,삼성전자,83500₩,83800₩,82100₩,82500₩,24171688₩
2021년 2월 4일,NVIDIA,13.4989$,13.6410$,13.3062$,13.6318$,5033462$
2021년 2월 4일,AMD,88.2200$,88.6000$,87.0600$,87.8400$,30791641$
2021년 2월 4일,SK하이닉스,127500₩,128500₩,124000₩,125000₩,4600618₩
2021년 2월 5일,SK하이닉스,126500₩,128000₩,124500₩,127500₩,3497303₩
2021년 2월 5일,삼성전자,83100₩,84000₩,82500₩,83500₩,18036836₩
2021년 2월 5일,AMD,88.1500$,88.3600$,86.8750$,87.9000$,30268677$
2021년 2월 5일,NVIDIA,13.6924$,13.7046$,13.5136$,13.5587$,4228841$
2021년 2월 8일,AMD,88.3100$,91.9900$,87.9800$,91.4700$,47639887$
2021년 2월 8일,삼성전자,83800₩,84200₩,83000₩,83000₩,15338765₩
2021년 2월 8일,SK하이닉스,127500₩,128000₩,125000₩,125000₩,2876471₩
2021년 2월 8일,NVIDIA,13.6946$,14.4394$,13.6946$,14.4045$,10865571$
2021년 2월 9일,삼성전자,84000₩,84800₩,82700₩,82700₩,20898332₩
2021년 2월 9일,NVIDIA,14.3066$,14.5486$,14.1887$,14.2294$,7189003$
2021년 2월 9일,SK하이닉스,127500₩,130000₩,125000₩,125500₩,5177095₩
2021년 2월 9일,AMD,91.3900$,93.3000$,90.5500$,90.9100$,37596446$
2021년 2월 10일,NVIDIA,14.4289$,14.8696$,14.3073$,14.7292$,12133808$
2021년 2월 10일,AMD,91.5000$,93.2700$,90.4600$,92.3500$,42441300$
